Zona,Rack,Tiempo,Temperatura,Humedad
POD A,1,2024-12-05 09:37:24.229600,23.62000084,32.90039063
POD A,1,2024-12-05 09:37:55.182718,23.62000084,33.03710938
POD A,1,2024-12-05 09:38:26.106490,23.61000061,33.09472656
POD A,1,2024-12-05 09:38:57.040688,23.62000084,33.20800781
POD A,1,2024-12-05 09:39:28.020764,23.62999916,33.265625
POD A,1,2024-12-05 09:39:58.936552,23.64999962,33.37011719
POD A,1,2024-12-05 09:40:30.735470,23.67000008,33.46289063
POD A,1,2024-12-05 09:41:00.788621,23.65999985,33.5078125
POD A,1,2024-12-05 09:41:31.720467,23.69000053,33.58984375
POD A,1,2024-12-05 09:42:02.660649,23.69000053,33.64746094
POD A,1,2024-12-05 09:42:33.591035,23.72999954,33.68359375
POD A,1,2024-12-05 09:43:04.518636,23.75,33.75292969
POD A,1,2024-12-05 09:43:35.505955,23.76000023,33.76660156
POD A,1,2024-12-05 09:44:06.394950,23.79000092,33.81347656
POD A,1,2024-12-05 09:44:37.331818,23.79999924,33.82617188
POD A,1,2024-12-05 09:45:08.292927,23.81999969,33.85058594
POD A,1,2024-12-05 09:45:39.205815,23.82999992,33.86328125
POD A,1,2024-12-05 09:46:10.189999,23.88999939,33.85546875
POD A,1,2024-12-05 09:46:41.332697,23.92000008,33.84667969
POD A,1,2024-12-05 09:47:12.023346,23.94000053,33.859375
POD A,1,2024-12-05 09:47:43.277337,23.95000076,33.89453125
POD A,1,2024-12-05 09:48:13.885644,23.96999931,33.90722656
POD A,1,2024-12-05 09:48:44.819340,24.0,33.91015625
POD A,1,2024-12-05 09:49:15.775287,24.04999924,33.8671875
POD A,1,2024-12-05 09:49:46.757516,24.05999947,33.88085938
POD A,1,2024-12-05 09:50:17.636070,24.07999992,33.87011719
POD A,1,2024-12-05 09:50:48.569520,24.09000015,33.91601563
POD A,1,2024-12-05 09:51:19.506631,24.11000061,33.92871094
POD A,1,2024-12-05 09:51:50.440833,24.10000038,33.95214844
POD A,1,2024-12-05 09:52:21.374450,24.10000038,33.97460938
POD A,1,2024-12-05 09:52:52.333542,24.07999992,34.04199219
POD A,1,2024-12-05 09:53:23.242847,24.07999992,34.04199219
POD A,1,2024-12-05 09:53:54.196932,24.06999969,34.14355469
POD A,1,2024-12-05 09:54:25.124161,24.05999947,34.15429688
POD A,1,2024-12-05 09:54:56.036069,24.05999947,34.15429688
POD A,1,2024-12-05 09:55:27.059678,24.05999947,34.15429688
POD A,1,2024-12-05 09:56:28.807729,24.05999947,34.15429688
POD A,1,2024-12-05 09:56:59.898154,24.05999947,34.15429688
POD A,1,2024-12-05 09:57:30.841632,24.05999947,34.15429688
POD A,1,2024-12-05 09:58:01.772934,24.05999947,34.15429688
POD A,1,2024-12-05 09:59:03.635516,24.05999947,34.15429688
POD A,1,2024-12-05 09:59:34.392544,24.05999947,34.15429688
POD A,1,2024-12-05 10:00:05.438972,24.05999947,34.15429688
POD A,1,2024-12-05 10:01:07.126878,24.05999947,34.15429688
POD A,1,2024-12-05 10:01:38.079814,24.05999947,34.15429688
POD A,1,2024-12-05 10:02:09.572547,24.05999947,34.15429688
POD A,1,2024-12-05 10:02:39.922481,24.05999947,34.15429688
POD A,1,2024-12-05 10:03:10.870821,24.05999947,34.15429688
POD A,1,2024-12-05 10:03:41.789328,24.05999947,34.15429688
POD A,1,2024-12-05 11:29:05.083380,23.62000084,33.73339844
POD A,1,2024-12-05 11:29:45.989273,23.62000084,33.73339844
POD A,1,2024-12-05 11:30:27.018610,23.62000084,33.73339844
POD A,1,2024-12-05 11:31:08.126121,23.62000084,33.73339844
POD A,1,2024-12-05 11:31:49.132655,23.62000084,33.73339844
POD A,1,2024-12-05 11:32:30.200279,23.62000084,33.73339844
POD A,1,2024-12-05 11:33:11.208655,23.62000084,33.73339844
POD A,1,2024-12-05 11:33:52.342494,23.62000084,33.73339844
POD A,1,2024-12-05 11:34:33.531825,23.62000084,33.73339844
POD A,1,2024-12-05 11:35:14.505128,23.62000084,33.73339844
POD A,1,2024-12-05 11:35:55.459140,23.62000084,33.73339844
POD A,1,2024-12-05 11:36:36.447755,23.62000084,33.73339844
POD A,1,2024-12-05 11:37:17.487892,23.62000084,33.73339844
POD A,1,2024-12-05 11:37:58.556497,23.62000084,33.73339844
POD A,1,2024-12-05 11:38:39.711860,23.62000084,33.73339844
POD A,1,2024-12-05 11:39:20.635531,23.62000084,33.73339844
POD A,1,2024-12-05 11:40:01.841838,23.62000084,33.73339844
POD A,1,2024-12-05 11:40:42.805761,23.62000084,33.73339844
POD A,1,2024-12-05 11:41:23.979044,23.62000084,33.73339844
POD A,1,2024-12-05 11:42:04.827255,23.62000084,33.73339844
POD A,1,2024-12-05 11:42:45.905719,23.62000084,33.73339844
POD A,1,2024-12-05 11:43:26.922415,23.62000084,33.73339844
POD A,1,2024-12-05 11:44:08.023564,23.62000084,33.73339844
POD A,1,2024-12-05 11:45:30.199435,23.62000084,33.73339844
POD A,1,2024-12-05 11:46:11.110734,23.62000084,33.73339844
POD A,1,2024-12-05 11:46:52.148428,23.62000084,33.73339844
POD A,1,2024-12-05 11:47:33.235778,23.62000084,33.73339844
POD A,1,2024-12-05 11:48:14.527199,23.62000084,33.73339844
POD A,1,2024-12-05 11:48:55.327333,23.62000084,33.73339844
POD A,1,2024-12-05 11:49:36.394937,23.62000084,33.73339844
